city,year,weekofyear,total_cases
sj,2008,18,13
sj,2008,19,13
sj,2008,20,13
sj,2008,21,13
sj,2008,22,13
sj,2008,23,13
sj,2008,24,13
sj,2008,25,14
sj,2008,26,15
sj,2008,27,14
sj,2008,28,12
sj,2008,29,15
sj,2008,30,15
sj,2008,31,28
sj,2008,32,27
sj,2008,33,27
sj,2008,34,32
sj,2008,35,28
sj,2008,36,82
sj,2008,37,35
sj,2008,38,32
sj,2008,39,34
sj,2008,40,46
sj,2008,41,35
sj,2008,42,43
sj,2008,43,35
sj,2008,44,32
sj,2008,45,36
sj,2008,46,32
sj,2008,47,39
sj,2008,48,32
sj,2008,49,31
sj,2008,50,29
sj,2008,51,29
sj,2008,52,32
sj,2009,1,33
sj,2009,2,19
sj,2009,3,17
sj,2009,4,16
sj,2009,5,17
sj,2009,6,17
sj,2009,7,18
sj,2009,8,19
sj,2009,9,19
sj,2009,10,16
sj,2009,11,16
sj,2009,12,13
sj,2009,13,12
sj,2009,14,13
sj,2009,15,11
sj,2009,16,11
sj,2009,17,11
sj,2009,18,11
sj,2009,19,11
sj,2009,20,10
sj,2009,21,10
sj,2009,22,12
sj,2009,23,12
sj,2009,24,12
sj,2009,25,13
sj,2009,26,14
sj,2009,27,14
sj,2009,28,16
sj,2009,29,17
sj,2009,30,24
sj,2009,31,25
sj,2009,32,36
sj,2009,33,36
sj,2009,34,37
sj,2009,35,45
sj,2009,36,104
sj,2009,37,38
sj,2009,38,55
sj,2009,39,65
sj,2009,40,44
sj,2009,41,59
sj,2009,42,67
sj,2009,43,57
sj,2009,44,117
sj,2009,45,73
sj,2009,46,56
sj,2009,47,56
sj,2009,48,60
sj,2009,49,55
sj,2009,50,53
sj,2009,51,54
sj,2009,52,55
sj,2010,53,56
sj,2010,1,28
sj,2010,2,22
sj,2010,3,28
sj,2010,4,25
sj,2010,5,19
sj,2010,6,17
sj,2010,7,17
sj,2010,8,16
sj,2010,9,18
sj,2010,10,12
sj,2010,11,10
sj,2010,12,8
sj,2010,13,6
sj,2010,14,6
sj,2010,15,7
sj,2010,16,14
sj,2010,17,12
sj,2010,18,16
sj,2010,19,11
sj,2010,20,19
sj,2010,21,19
sj,2010,22,89
sj,2010,23,43
sj,2010,24,46
sj,2010,25,72
sj,2010,26,63
sj,2010,27,70
sj,2010,28,62
sj,2010,29,110
sj,2010,30,99
sj,2010,31,83
sj,2010,32,145
sj,2010,33,120
sj,2010,34,129
sj,2010,35,143
sj,2010,36,145
sj,2010,37,120
sj,2010,38,95
sj,2010,39,102
sj,2010,40,106
sj,2010,41,127
sj,2010,42,102
sj,2010,43,132
sj,2010,44,124
sj,2010,45,69
sj,2010,46,65
sj,2010,47,64
sj,2010,48,74
sj,2010,49,75
sj,2010,50,73
sj,2010,51,74
sj,2011,52,74
sj,2011,1,33
sj,2011,2,39
sj,2011,3,29
sj,2011,4,24
sj,2011,5,20
sj,2011,6,16
sj,2011,7,16
sj,2011,8,16
sj,2011,9,16
sj,2011,10,15
sj,2011,11,16
sj,2011,12,16
sj,2011,13,16
sj,2011,14,17
sj,2011,15,17
sj,2011,16,19
sj,2011,17,19
sj,2011,18,22
sj,2011,19,20
sj,2011,20,28
sj,2011,21,27
sj,2011,22,12
sj,2011,23,10
sj,2011,24,56
sj,2011,25,31
sj,2011,26,38
sj,2011,27,38
sj,2011,28,32
sj,2011,29,18
sj,2011,30,64
sj,2011,31,34
sj,2011,32,101
sj,2011,33,43
sj,2011,34,98
sj,2011,35,63
sj,2011,36,42
sj,2011,37,62
sj,2011,38,43
sj,2011,39,43
sj,2011,40,39
sj,2011,41,39
sj,2011,42,39
sj,2011,43,38
sj,2011,44,38
sj,2011,45,40
sj,2011,46,38
sj,2011,47,40
sj,2011,48,34
sj,2011,49,27
sj,2011,50,37
sj,2011,51,25
sj,2012,52,26
sj,2012,1,23
sj,2012,2,20
sj,2012,3,18
sj,2012,4,18
sj,2012,5,15
sj,2012,6,13
sj,2012,7,12
sj,2012,8,12
sj,2012,9,11
sj,2012,10,10
sj,2012,11,7
sj,2012,12,6
sj,2012,13,7
sj,2012,14,14
sj,2012,15,16
sj,2012,16,15
sj,2012,17,13
sj,2012,18,16
sj,2012,19,10
sj,2012,20,13
sj,2012,21,12
sj,2012,22,9
sj,2012,23,13
sj,2012,24,13
sj,2012,25,43
