city,year,weekofyear,total_cases
sj,2008,18,12
sj,2008,19,10
sj,2008,20,12
sj,2008,21,13
sj,2008,22,12
sj,2008,23,12
sj,2008,24,12
sj,2008,25,13
sj,2008,26,15
sj,2008,27,5
sj,2008,28,12
sj,2008,29,20
sj,2008,30,20
sj,2008,31,13
sj,2008,32,30
sj,2008,33,34
sj,2008,34,33
sj,2008,35,33
sj,2008,36,30
sj,2008,37,31
sj,2008,38,35
sj,2008,39,34
sj,2008,40,36
sj,2008,41,33
sj,2008,42,35
sj,2008,43,32
sj,2008,44,33
sj,2008,45,35
sj,2008,46,32
sj,2008,47,37
sj,2008,48,34
sj,2008,49,29
sj,2008,50,33
sj,2008,51,29
sj,2008,52,27
sj,2009,1,15
sj,2009,2,18
sj,2009,3,12
sj,2009,4,13
sj,2009,5,12
sj,2009,6,17
sj,2009,7,18
sj,2009,8,20
sj,2009,9,23
sj,2009,10,16
sj,2009,11,11
sj,2009,12,9
sj,2009,13,8
sj,2009,14,11
sj,2009,15,9
sj,2009,16,10
sj,2009,17,8
sj,2009,18,8
sj,2009,19,9
sj,2009,20,8
sj,2009,21,8
sj,2009,22,10
sj,2009,23,10
sj,2009,24,9
sj,2009,25,11
sj,2009,26,15
sj,2009,27,10
sj,2009,28,17
sj,2009,29,15
sj,2009,30,15
sj,2009,31,16
sj,2009,32,29
sj,2009,33,29
sj,2009,34,29
sj,2009,35,31
sj,2009,36,48
sj,2009,37,35
sj,2009,38,43
sj,2009,39,51
sj,2009,40,37
sj,2009,41,47
sj,2009,42,59
sj,2009,43,65
sj,2009,44,86
sj,2009,45,64
sj,2009,46,65
sj,2009,47,70
sj,2009,48,78
sj,2009,49,75
sj,2009,50,72
sj,2009,51,72
sj,2009,52,63
sj,2010,53,65
sj,2010,1,20
sj,2010,2,20
sj,2010,3,18
sj,2010,4,17
sj,2010,5,21
sj,2010,6,18
sj,2010,7,18
sj,2010,8,13
sj,2010,9,17
sj,2010,10,22
sj,2010,11,8
sj,2010,12,5
sj,2010,13,6
sj,2010,14,4
sj,2010,15,5
sj,2010,16,7
sj,2010,17,7
sj,2010,18,7
sj,2010,19,7
sj,2010,20,9
sj,2010,21,10
sj,2010,22,58
sj,2010,23,45
sj,2010,24,47
sj,2010,25,48
sj,2010,26,49
sj,2010,27,68
sj,2010,28,71
sj,2010,29,125
sj,2010,30,96
sj,2010,31,145
sj,2010,32,98
sj,2010,33,104
sj,2010,34,110
sj,2010,35,78
sj,2010,36,241
sj,2010,37,77
sj,2010,38,78
sj,2010,39,95
sj,2010,40,116
sj,2010,41,114
sj,2010,42,109
sj,2010,43,114
sj,2010,44,105
sj,2010,45,72
sj,2010,46,68
sj,2010,47,72
sj,2010,48,69
sj,2010,49,86
sj,2010,50,88
sj,2010,51,78
sj,2011,52,81
sj,2011,1,32
sj,2011,2,28
sj,2011,3,24
sj,2011,4,24
sj,2011,5,26
sj,2011,6,12
sj,2011,7,19
sj,2011,8,12
sj,2011,9,15
sj,2011,10,11
sj,2011,11,14
sj,2011,12,11
sj,2011,13,11
sj,2011,14,15
sj,2011,15,14
sj,2011,16,17
sj,2011,17,11
sj,2011,18,12
sj,2011,19,12
sj,2011,20,11
sj,2011,21,8
sj,2011,22,13
sj,2011,23,8
sj,2011,24,51
sj,2011,25,16
sj,2011,26,17
sj,2011,27,22
sj,2011,28,9
sj,2011,29,20
sj,2011,30,29
sj,2011,31,13
sj,2011,32,190
sj,2011,33,38
sj,2011,34,147
sj,2011,35,31
sj,2011,36,39
sj,2011,37,27
sj,2011,38,41
sj,2011,39,39
sj,2011,40,46
sj,2011,41,52
sj,2011,42,41
sj,2011,43,40
sj,2011,44,43
sj,2011,45,43
sj,2011,46,38
sj,2011,47,41
sj,2011,48,47
sj,2011,49,37
sj,2011,50,37
sj,2011,51,35
sj,2012,52,34
sj,2012,1,19
sj,2012,2,15
sj,2012,3,15
sj,2012,4,17
sj,2012,5,20
sj,2012,6,15
sj,2012,7,18
sj,2012,8,11
sj,2012,9,16
sj,2012,10,12
sj,2012,11,9
sj,2012,12,9
sj,2012,13,5
sj,2012,14,7
sj,2012,15,6
sj,2012,16,7
sj,2012,17,6
sj,2012,18,15
sj,2012,19,9
sj,2012,20,8
sj,2012,21,10
sj,2012,22,8
sj,2012,23,11
sj,2012,24,16
sj,2012,25,15
sj,2012,26,10
sj,2012,27,13
sj,2012,28,14
sj,2012,29,17
sj,2012,30,53
sj,2012,31,17
sj,2012,32,19
sj,2012,33,63
sj,2012,34,20
sj,2012,35,25
sj,2012,36,63
sj,2012,37,65
sj,2012,38,71
sj,2012,39,55
sj,2012,40,47
sj,2012,41,70
sj,2012,42,30
sj,2012,43,28
sj,2012,44,51
sj,2012,45,247
sj,2012,46,289
sj,2012,47,288
sj,2012,48,257
sj,2012,49,258
sj,2012,50,256
sj,2012,51,232
sj,2013,1,82
sj,2013,2,80
sj,2013,3,68
sj,2013,4,72
sj,2013,5,77
sj,2013,6,60
sj,2013,7,61
sj,2013,8,60
sj,2013,9,59
sj,2013,10,72
sj,2013,11,52
sj,2013,12,56
sj,2013,13,60
sj,2013,14,50
sj,2013,15,57
sj,2013,16,63
sj,2013,17,7
iq,2010,26,7
iq,2010,27,5
iq,2010,28,13
iq,2010,29,3
iq,2010,30,1
iq,2010,31,2
iq,2010,32,0
